,inicio_termo,tamanho_termo,termo
0,ac,14,acompanhamento
1,au,7,aumenta
2,wo,4,work
3,pr,11,proposition
4,ea,3,eap
5,fl,5,fluxo
6,pe,6,pessoa
7,in,11,investiment
8,or,11,organizando
9,qu,11,qualitativa
10,si,5,sipoc
11,ob,7,obterem
12,vi,5,visao
13,fu,5,funil
14,fu,5,fundo
15,do,4,down
16,fo,7,focando
17,in,10,intermédio
18,al,9,alinhados
19,co,11,compradores
20,in,13,inadimplência
21,im,10,improvável
22,fi,7,fixando
23,sd,4,sdrs
24,en,10,envolvidos
25,at,4,ator
26,me,7,membros
27,ca,10,categorias
28,de,8,delivery
29,ev,3,eve
30,hi,8,hipótese
31,po,15,potencialização
32,té,7,técnica
33,av,6,avalie
34,pr,8,programa
35,br,9,breakdown
36,co,12,consideradas
37,hu,7,humanos
38,am,11,amostragens
39,es,7,estimar
40,fe,11,federativos
41,an,8,antecipe
42,an,7,análise
43,ch,5,chart
44,ho,10,horizontal
45,pa,6,painel
46,ló,6,lógica
47,ka,6,kanban
48,+1,2,+1
49,re,12,relacionador
50,dr,7,drivers
51,vi,12,visualização
52,mé,7,métrica
53,pa,5,papel
54,co,13,colaboradores
55,ni,4,nine
56,ro,5,rotas
57,pm,4,pmes
58,pa,7,padrões
59,ex,9,excelente
60,no,4,novo
61,pa,3,pay
62,wa,3,war
63,pr,9,preparado
64,de,11,development
65,es,12,estatisticas
66,su,12,substituídas
67,pe,6,perdas
68,tr,8,traçando
69,da,5,daqui
70,ár,6,árvore
71,da,5,daily
72,pr,12,profundidade
73,pi,8,pirâmide
74,pr,7,prestam
75,sr,3,srm
76,pe,12,perspectivas
77,br,10,brasileiro
78,co,11,compromisso
79,mã,4,mãos
80,ar,12,arquiteturas
81,el,10,elaborando
82,bo,3,bom
83,ra,6,rating
84,cl,6,clique
85,no,5,novas
86,mé,5,médio
87,pr,9,promoções
88,há,7,hábitos
89,ge,4,gera
90,po,6,portas
91,ow,9,ownership
92,st,6,stream
93,to,5,todos
94,cu,10,cultivando
95,tr,14,transformá-los
96,fa,8,famílias
97,pr,7,pricing
98,im,8,impactam
99,ju,11,julgamentos
100,us,7,usuário
101,pn,3,pnl
102,is,3,iss
103,st,3,stf
104,ex,8,exercida
105,si,9,situações
106,al,11,alavancável
107,co,15,conscientemente
108,re,7,reporte
109,un,8,unbounce
110,fo,7,forçada
111,pr,8,promotor
112,es,12,estruturá-la
113,co,10,compliance
114,or,7,ordenar
115,ca,9,cadastros
116,ét,5,ético
117,re,11,redefinição
118,qu,8,questões
119,re,12,renegociação
120,ot,7,otimize
121,en,8,enquanto
122,pr,8,premissa
123,ba,8,balanced
124,de,12,despreparado
125,va,9,valuation
126,jo,7,journey
127,tr,7,transit
128,vi,8,violenta
129,po,9,pos-money
130,th,8,thinking
131,âm,6,âmbito
132,in,10,investidor
133,co,11,conservador
134,qu,8,qualquer
135,im,11,implantação
136,re,17,responsabilização
137,di,9,direcione
138,e-,5,e-nps
139,ma,6,matrix
140,co,11,colaboração
141,op,13,oportunidades
142,ec,9,econômico
143,ou,12,outplacement
144,sc,9,scrapping
145,at,5,atuar
146,do,6,domina
147,le,8,learning
148,bo,3,boa
149,ri,7,rituais
150,ge,7,gerente
151,br,8,branding
152,pr,9,premissas
153,di,10,divulgação
154,ve,7,versões
155,vi,11,viabilidade
156,en,13,endividamento
157,ra,8,racional
158,co,12,consideração
159,me,11,metodologia
160,ba,7,balance
161,co,8,corretas
162,op,11,oportunista
163,tr,11,trabalhados
164,re,9,rentáveis
165,po,9,possíveis
166,ne,5,neste
167,te,7,testado
168,pl,9,plantadas
169,re,7,retorno
170,de,8,desenhar
171,su,8,sucedida
172,di,9,discussão
173,ex,7,exigido
174,ta,5,taxas
175,ap,14,aproveitamento
176,ef,7,efetivo
177,br,10,brasileira
178,5w,4,5w1h
179,mo,6,motriz
180,es,13,estabelecidos
181,te,10,technology
182,im,9,imediatas
183,in,10,invisíveis
184,pa,8,palavras
185,pa,10,parceladas
186,pa,14,palavras-chave
187,ce,7,centros
188,ma,6,matriz
189,av,7,avaliar
190,mo,9,monitorar
191,co,12,configuração
192,co,13,costbreakdown
193,bu,3,buy
194,es,10,estruturar
195,hu,6,humana
196,pr,8,prejuízo
197,ta,6,tabela
198,ef,6,eficaz
199,ca,16,categorias-chave
200,pr,5,price
201,mó,5,móvel
202,as,9,assegurar
203,re,9,requerida
204,pr,10,praticadas
205,se,6,semana
206,ou,8,outliers
207,ad,6,adotar
208,cr,7,cruzada
209,pa,12,patrimoniais
210,en,13,entendimentos
211,re,11,respectivos
212,im,8,impostos
213,au,13,automatizando
214,di,15,dimensionamento
215,ad,13,administrando
216,po,9,positions
217,cs,4,cssl
218,re,9,revisando
219,or,12,organogramas
220,im,7,imagens
221,fo,12,fornecimento
222,mu,5,mundo
223,ca,10,capacidade
224,an,4,anjo
225,co,8,corredor
226,co,12,conquistando
227,la,7,lavagem
228,of,7,oficina
229,br,5,break
230,pr,8,provável
231,aq,4,aqui
232,po,5,poker
233,at,6,ativos
234,so,3,som
235,as,5,as-is
236,ad,5,adhoc
237,tr,12,tradicionais
238,ne,9,negociado
239,pr,11,prioridades
240,tã,3,tão
241,co,8,contínuo
242,li,4,live
243,im,7,importa
244,pr,14,probabilidades
245,es,12,estatísticas
246,fa,4,fato
247,in,7,indolor
248,id,5,ideal
249,es,13,especificação
250,de,9,desbravar
251,ob,10,observação
252,in,13,interferência
253,ca,15,características
254,co,7,coletar
255,ma,11,maximização
256,ne,12,necessidades
257,in,9,integrada
258,ed,8,educação
259,pm,5,pmbok
260,sc,5,scrum
261,co,12,considerados
262,au,12,automatizada
263,to,9,tomadores
264,el,7,elimine
265,ma,4,maus
266,im,13,implementação
267,pr,9,protótipo
268,pa,11,patrimonial
269,in,8,inflação
270,li,4,lida
271,ge,5,gerir
272,ma,7,massivo
273,id,7,ideação
274,ar,11,arquitetura
275,co,10,construção
276,es,10,estruturas
277,pr,8,praticar
278,ob,10,objectives
279,si,10,sistêmicos
280,fo,10,fortalecer
281,te,13,terceirização
282,40,2,40
283,on,2,on
284,in,13,independentes
285,au,10,aumentando
286,pa,7,parcial
287,mú,5,mútua
288,au,4,aula
289,re,12,relacionadas
290,fg,4,fgts
291,re,7,results
292,in,10,incidentes
293,pv,4,pvex
294,li,5,linha
295,ve,7,venture
296,ex,9,executivo
297,in,8,internos
298,rd,2,rd
299,ex,8,executam
300,co,6,cobrar
301,ca,7,capazes
302,cp,3,cpl
303,su,11,sustentável
304,me,5,mente
305,16,2,16
306,pr,3,prl
307,sc,7,science
308,hu,7,hubspot
309,op,11,operacional
310,im,12,implementada
311,ap,9,aplicadas
312,di,13,disciplinares
313,fa,6,falhas
314,ma,4,mapa
315,tr,13,transferência
316,pl,12,planejamento
317,ta,7,tamanho
318,sé,5,série
319,mo,7,modelos
320,ma,3,man
321,fi,9,finalizou
322,fa,10,faculdades
323,pi,7,piratas
324,me,7,mercado
325,qu,10,qualificar
326,el,9,elencando
327,re,5,renda
328,an,10,analytical
329,sa,6,saídas
