,caracteres,fim,inicio,verbo
0,3,ou,so,sou
1,3,ra,er,era
2,4,ja,se,seja
3,2,és,és,és
4,4,as,er,eras
5,5,as,se,sejas
6,2,sê,sê,sê
7,1,é,é,é
8,3,ra,er,era
9,4,ja,se,seja
10,4,ja,se,seja
11,5,os,so,somos
12,6,os,ér,éramos
13,7,os,se,sejamos
14,7,os,se,sejamos
15,4,is,so,sois
16,5,is,ér,éreis
17,6,is,se,sejais
18,4,de,se,sede
19,3,ão,sã,são
20,4,am,er,eram
21,5,am,se,sejam
22,5,am,se,sejam
23,3,ui,fu,fui
24,4,ra,fo,fora
25,5,se,fo,fosse
26,5,te,fo,foste
27,5,as,fo,foras
28,6,es,fo,fosses
29,5,as,se,sejas
30,3,oi,fo,foi
31,4,ra,fo,fora
32,5,se,fo,fosse
33,4,ja,se,seja
34,5,os,fo,fomos
35,7,os,fô,fôramos
36,8,os,fô,fôssemos
37,7,os,se,sejamos
38,6,es,fo,fostes
39,6,is,fô,fôreis
40,7,is,fô,fôsseis
41,6,is,se,sejais
42,5,am,fo,foram
43,5,am,fo,foram
44,6,em,fo,fossem
45,5,am,se,sejam
46,5,ei,se,serei
47,5,ia,se,seria
48,3,or,fo,for
49,5,do,se,sendo
50,5,ás,se,serás
51,6,as,se,serias
52,5,es,fo,fores
53,4,rá,se,será
54,5,ia,se,seria
55,3,or,fo,for
56,7,os,se,seremos
57,8,os,se,seriamos
58,6,os,fo,formos
59,6,is,se,sereis
60,7,is,se,serieis
61,6,es,fo,fordes
62,4,do,si,sido
63,5,ão,se,serão
64,6,am,se,seriam
65,5,em,fo,forem
66,5,ho,te,tenho
67,5,ha,ti,tinha
68,5,ha,te,tenha
69,4,ns,te,tens
70,6,as,ti,tinhas
71,6,as,te,tenhas
72,3,em,te,tem
73,3,em,te,tem
74,5,ha,ti,tinha
75,5,ha,te,tenha
76,5,ha,te,tenha
77,5,os,te,temos
78,8,os,tí,tínhamos
79,8,os,te,tenhamos
80,8,os,te,tenhamos
81,6,es,te,tendes
82,7,is,tí,tínheis
83,7,is,te,tenhais
84,5,de,te,tende
85,3,êm,tê,têm
86,6,am,ti,tinham
87,6,am,te,tenham
88,6,am,te,tenham
89,4,ve,ti,tive
90,6,ra,ti,tivera
91,7,se,ti,tivesse
92,7,te,ti,tiveste
93,7,as,ti,tiveras
94,8,es,ti,tivesses
95,6,as,te,tenhas
96,4,ve,te,teve
97,6,ra,ti,tivera
98,7,se,ti,tivesse
99,5,ha,te,tenha
100,7,os,ti,tivemos
101,9,os,ti,tivéramos
102,10,os,ti,tivéssemos
103,8,os,te,tenhamos
104,8,es,ti,tivestes
105,8,is,ti,tivéreis
106,9,is,ti,tivésseis
107,7,is,te,tenhais
108,7,am,ti,tiveram
109,7,am,ti,tiveram
110,8,em,ti,tivessem
111,6,am,te,tenham
112,5,ei,te,terei
113,5,ia,te,teria
114,5,er,ti,tiver
115,5,do,te,tendo
116,5,ás,te,terás
117,6,as,te,terias
118,7,es,ti,tiveres
119,4,rá,te,terá
120,5,ia,te,teria
121,5,er,ti,tiver
122,7,os,te,teremos
123,8,os,te,teríamos
124,8,os,ti,tivermos
125,6,is,te,tereis
126,7,is,te,teríeis
127,8,es,ti,tiverdes
128,4,do,ti,tido
129,5,ão,te,terão
130,6,am,te,teriam
131,7,em,ti,tiverem
132,3,ei,he,hei
133,5,ia,ha,havia
134,4,ja,ha,haja
135,3,ás,há,hás
136,6,as,ha,havias
137,5,as,ha,hajas
138,2,há,há,há
139,2,há,há,há
140,5,ia,ha,havia
141,4,ja,ha,haja
142,4,ja,ha,haja
143,13,os,ha,havemos/hemos
144,8,os,ha,havíamos
145,7,os,ha,hajamos
146,7,os,ha,hajamos
147,11,is,ha,haveis/heis
148,7,is,ha,havíeis
149,6,is,ha,hajais
150,6,is,ha,haveis
151,3,ão,hã,hão
152,6,am,ha,haviam
153,5,am,ha,hajam
154,5,am,ha,hajam
155,5,ve,ho,houve
156,7,ra,ho,houvera
157,8,se,ho,houvesse
158,8,te,ho,houveste
159,8,as,ho,houveras
160,9,es,ho,houvesses
161,5,as,ha,hajas
162,5,ve,ho,houve
163,7,ra,ho,houvera
164,8,se,ho,houvesse
165,4,ja,ha,haja
166,8,os,ho,houvemos
167,10,os,ho,houvéramos
168,11,os,ho,houvéssemos
169,7,os,ha,hajamos
170,9,es,ho,houvestes
171,9,is,ho,houvéreis
172,10,is,ho,houvésseis
173,6,is,ha,hajais
174,8,am,ho,houveram
175,8,am,ho,houveram
176,9,em,ho,houvessem
177,5,am,ha,hajam
178,7,ei,ha,haverei
179,7,ia,ha,haveria
180,6,er,ho,houver
181,7,do,ha,havendo
182,7,ás,ha,haverás
183,8,as,ha,haverias
184,8,es,ho,houveres
185,6,rá,ha,haverá
186,7,ia,ha,haveria
187,6,er,ho,houver
